Label,Thumb Angle,Index Angle,Middle Angle,Ring Angle,Pinky Angle
pointer,154.52781207936235,147.04749781566022,101.98529048823018,177.78438512869545,179.82044715675323
pointer,149.28561165917134,147.06157184249903,116.79651320190396,183.21461383363203,179.28478549765433
pointer,149.15580648954432,144.61320266136204,116.8741268510766,184.19914684903281,182.29735938580993
pointer,148.80401394315768,146.0379246800108,126.05798776099718,188.6271443014996,182.72622901284743
pointer,149.19814628759988,148.79781252795965,131.3343376418821,183.89904773242708,183.86287155175953
pointer,148.40289604526788,144.26788276255917,228.078903468926,188.282043520003,184.43488650267025
pointer,147.10943049994557,144.1830219476305,209.86388424786568,185.2932732115004,182.73001090770407
pointer,146.90860631929587,140.0997735559267,202.76737541294753,192.58399799475382,184.63297392138338
pointer,145.19739559054187,146.70892455966757,195.64196228699464,188.012673785415,184.74069740469216
pointer,146.10228184040605,145.48280205517324,176.1327207581849,190.31156812627313,185.90865665042477
pointer,147.86693999983302,138.99889490324333,197.234974533298,195.86559341173836,189.14992074479179
pointer,147.80935727318845,136.6262562810322,200.07375371834422,196.6190969193911,188.42683731269898
pointer,148.99785844642204,134.1806774262976,195.4183349975684,194.3081620797909,182.92337863050778
pointer,147.2798189390125,134.32369399827988,183.23954756245803,189.0009654661218,181.55155988265443
pointer,163.78162500170464,169.63801883888783,188.6998807926369,228.81581730546995,209.50785335074386
pointer,149.32247106330362,144.9165798012539,159.46045197271354,182.7538672405534,181.2455204333955
pointer,150.44089916789946,139.38424365714496,166.40585681683035,194.8526619245938,188.79694818103596
pointer,151.14384389892663,139.09082754542914,165.49784995272898,194.73780992146186,189.47312719306683
pointer,158.70103752379097,152.44050602465376,176.81542052651696,192.92743978939595,186.22522896320925
pointer,151.79567973364,144.2928122194366,174.85051595439072,177.33310478207113,182.88512166757835
pointer,153.66053604375918,149.14239386452647,189.86043603845854,186.01813109981867,183.94310421372697
pointer,152.8961118712912,146.17828779800084,186.91054414990768,183.70650901550388,184.2823338382634
pointer,157.85012954949298,165.91551514693913,191.4959204469582,181.4521114495448,185.74070489979306
pointer,149.9457718702974,146.525074033615,167.02890971714012,179.1434211605064,183.03010525637364
pointer,147.62931807472367,146.3685008075675,155.77956016200156,175.8629490312645,179.8453916336643
pointer,148.12222143526853,143.64324642521802,141.4552090113761,180.44789881428048,178.88530708000314
pointer,145.6058619964225,146.70736235264235,146.7717702626641,178.50460983351724,176.22235504841817
pointer,143.67574196031458,142.36991977874337,204.1245284037902,187.40531038547388,175.81106839735807
pointer,142.35469177632666,142.1645655549129,217.06546509157846,189.48956926084202,173.34036551142077
pointer,143.01823217777817,139.27253851214934,216.79068923796365,187.0082762618193,174.58014571634342
pointer,142.9860487565514,139.41016208719495,236.17616909257669,184.76450092524394,174.18139673301442
pointer,142.924999545333,141.09440981500396,242.34250733194375,180.1799659021805,169.528901543516
pointer,143.65111445749253,144.18796697549186,249.99942686224978,174.53053060464555,169.0700801328792
pointer,144.09724667170846,141.43802437953823,245.52602900713313,172.06851388573372,166.7847979827956
pointer,142.50193126448903,141.07794804575465,241.8026409697575,170.65151249940837,167.88348813521134
pointer,141.96292584088724,140.80739222947633,224.1446821504737,171.11653388030587,173.7012677851075
pointer,144.47477599414853,138.72610832361607,216.48552651877915,164.93693336550075,173.27076477023724
pointer,151.32978260321389,138.03513707592742,216.44413058872635,169.54619910572174,179.8182723645116
pointer,159.28869918629672,123.70817591658154,207.749163177508,175.06705618975934,175.61437155193238
pointer,168.10591167117516,122.88126802695344,247.01988512367058,166.02762710133692,175.78387046225413
pointer,170.3324497966716,136.51087108417155,93.8762130436514,167.5608529371271,178.5200625349822
