Label,Thumb Angle,Index Angle,Middle Angle,Ring Angle,Pinky Angle
swipe,203.0756666858028,182.41653408440044,179.57366155093953,180.88319771297088,179.25554663241263
swipe,199.39794466645435,181.4356065548655,179.19548505975746,182.2092819381915,179.26060463449858
swipe,197.3074074843528,181.67245039587107,180.4513163759132,183.53049151254567,179.4074948731811
swipe,198.93014097740937,182.0640469979311,178.7388491144105,184.78090951350754,180.72202209961205
swipe,198.9796455698874,180.38229557451322,178.8719479184094,184.71227181551097,180.67690788105
swipe,196.7716627465557,181.86819335424943,180.11217218516109,184.66182243424447,180.28938408228592
swipe,196.82601989184084,182.02059451177746,181.67273951442394,184.1269002976322,180.47722290627527
swipe,197.02401092588903,183.33814001543266,181.06233021449867,182.7368918580286,179.43687150876198
swipe,196.87523915532486,180.65566466263255,181.53973990031082,182.54446813047505,179.1700507316553
swipe,196.60108832905658,180.95595411514913,182.3201544733527,182.71573433092385,178.94652203657444
swipe,197.15095120089464,180.69657236918886,182.00432799848568,182.6356581598856,178.05930593165635
swipe,198.53077940149242,180.7905350670119,181.8412177562086,182.98019083212705,178.55498440685923
swipe,197.05702321321982,181.29723451030145,184.72810405154317,182.801398327578,177.60327777636812
swipe,196.56371261955783,182.12004334211164,183.5691246553303,182.25128134881592,177.80441629977543
swipe,197.24074506514168,181.94453853218545,184.4590335373841,182.24452912435103,176.8652481839012
swipe,197.40607459926497,181.69360588521363,183.9340740063272,182.7985194100286,177.1316885530847
swipe,199.4033253156323,180.97875056080636,182.86531513892638,182.4137560748315,177.68789992255316
swipe,199.52871149559394,180.51863222238453,181.08869781007382,182.45901999734966,178.4057578647204
swipe,198.85763705720956,179.78773927358623,179.59456210728536,182.35442775333425,177.9177243242579
swipe,198.74685363531734,180.5048519322056,179.9420949225897,181.66402551777827,178.21963865401625
swipe,197.68744932838226,180.87469754825966,178.34510805686165,179.35373634444247,178.24839078550784
swipe,200.4348633508007,179.32597524714927,178.24796646678666,177.7653051345548,178.60791505399214
swipe,200.74676426338553,179.2146105938377,176.5160032283515,177.300512778889,178.71649524948035
swipe,197.1530433718064,179.79897771136862,174.42276348611512,175.27463484474472,179.4479683705146
swipe,197.61360308008506,179.64603355747198,174.9076938724651,174.50726232355953,178.45013702375513
swipe,199.4195800931634,180.7356870842539,179.06859913522246,172.97501216187382,176.83802498493975
swipe,206.03156997943168,181.4816879233623,175.33536057063756,172.91358146304685,178.88129076393113
swipe,206.4586423100478,183.071374850003,175.2683166507554,174.10116722504222,180.22129431611523
swipe,203.82017087148606,181.70654318119813,177.9216582744802,175.06987450680762,177.31378819019068
swipe,203.52483080849026,179.77995699681946,173.69228073398455,174.66159917208208,178.06580282652456
swipe,194.76029936881554,177.9041224030983,175.13671887393645,173.32585152006297,178.21382525422376
swipe,192.10418254183998,177.23723024117032,172.0923410779132,174.1265805100602,179.59562584611794
swipe,187.46991313149857,172.35842475579574,167.30634220068126,174.37183985604568,180.2064046405128
swipe,176.99003135964176,163.11780768321927,161.4967800206611,175.92629635858748,180.25605473850922
swipe,165.4174898237482,157.64594780807883,154.46657301341952,177.42222057716987,179.18518041773544
swipe,162.83831824148044,153.8932096812855,147.1193006713714,181.45517637093926,179.34194514073408
swipe,161.63213839097838,156.6572783844315,148.9902207867234,181.13778944781902,178.19826817303763
swipe,167.71352220247869,171.27407572614706,176.20168203230233,179.97852390791627,179.21081103499034
swipe,167.32854016557016,171.68239967551312,172.06992893238763,181.50225409737195,179.21465844215177
swipe,167.80934460700672,173.11532390876496,176.01726276932695,180.85766682393214,178.4812547512774
swipe,169.2048495156371,173.39731069154703,181.18500106717136,180.52224713738005,178.55054619315897
swipe,167.72091929151557,176.09607485773304,184.8648674754835,180.02697492352118,177.8856001341285
swipe,166.36501341022193,173.91477308991153,182.6442816263659,179.8608120131724,178.25714190016927
swipe,167.10429532856827,179.15268349951788,184.77583452654181,180.01368507037012,177.61603779142698
swipe,167.48916848381273,180.49247211570508,186.32292932313322,179.43650265455614,178.17130541093272
swipe,163.0982195257703,175.89111713073873,183.25760527238242,179.43962708734597,178.66927306141613
swipe,163.4189414114094,173.81643514767362,182.50058936806622,178.46546780412703,178.2641312224492
swipe,163.82049149687253,173.3418528054864,187.7228342389119,177.6924146486739,178.4921642220417
swipe,160.7343190596261,170.1112059746112,186.9528190468407,178.39080849052107,179.26569588385257
swipe,162.40452378551979,167.63600159239408,176.3388912116539,176.09272050699738,178.03439001890044
swipe,161.2874438994529,168.29010888995128,178.17442446495724,176.76724035397265,177.0246806218684
swipe,161.6705664678451,169.0644981030111,178.7799050883978,178.25943452978072,178.27160130111668
swipe,162.56000656976335,170.82730718661637,176.54703879785572,180.40341472264095,179.48032443679435
swipe,161.58130387727462,170.3010512676155,170.91047986958205,181.18035041142835,179.45084408869948
swipe,160.09479604215096,171.66036236775216,170.0620094446762,180.66986509192228,179.10273502852158
swipe,160.37494238008998,172.08182202885678,161.88802333016392,180.01259902372234,178.97655182709275
swipe,161.7665271957595,172.3335796763141,160.18377913812634,178.8813153302539,177.6247508894117
swipe,161.0493882603705,171.26816946577827,160.49038200109018,178.28695840346487,178.28543632551947
swipe,160.00169206762965,171.59583838521525,156.3936975330965,179.31484546547406,178.775834890518
swipe,159.31613643073436,169.57719289882212,161.0531259371263,179.64556011517067,178.69180244689647
swipe,154.42988274774478,168.10771455298192,169.58084955806115,179.9533702164523,178.98113192182814
swipe,158.68532599663757,169.21915976123796,163.84209189828303,179.68919962136317,179.63762809216715
swipe,160.96560446399215,170.52038779021473,165.70149151919912,179.17635447032774,179.60733030666273
swipe,162.661029803825,171.78152504145714,166.2006145974514,179.53989057955982,180.4275508311838
swipe,164.33839772512746,169.09977894709277,171.53340178159095,180.08838825337523,179.57287348924336
swipe,166.59876620374055,170.29088769892059,174.52072952271564,180.2408646051161,177.87500483436457
swipe,169.9499873341653,170.95017036684007,175.51407880124708,180.04662866345186,178.52620655337665
